spotify_id,name,artists,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
4x7j9ed3FRH6CHj27kiTQ3,Wackelkontakt,Oimara,1,0,0,AT,3/1/25,77,FALSE,168801,Wackelkontakt,8/2/24,0.739,0.77,7,-3.009,1,0.292,0.0374,8.59E-06,0.356,0.521,169.963,4
6j8OrKDQHxXakjA7KKbWzj,tau mich auf,Zartmann,2,0,1,AT,3/1/25,77,FALSE,110902,tau mich auf,1/31/25,0.888,0.791,2,-7.766,1,0.0992,0.256,2.42E-06,0.183,0.821,124.981,4
36w8f4Cl7JqTbFDamAdq8Q,Wie?,AYLIVA,3,0,1,AT,3/1/25,72,FALSE,173325,Wie?,2/20/25,0.644,0.43,7,-10.548,0,0.0373,0.098,0.000215,0.141,0.094,131.984,4
4wJ5Qq0jBN4ajy7ouZIV1c,APT.,"ROSÉ, Bruno Mars",4,0,2,AT,3/1/25,87,FALSE,169917,rosie,12/6/24,0.777,0.783,0,-4.477,0,0.26,0.0283,0,0.355,0.939,149.027,4
3FjK86616FbluOfTxNK2gY,A N X I E T Y (feat. Doechii),"Sleepy Hallow, Doechii",5,6,45,AT,3/1/25,71,TRUE,148928,Boy Meets World,9/15/23,0.931,0.401,0,-8.756,1,0.158,0.399,2.05E-06,0.266,0.613,128.871,4
6yT1Qf1EKbUfiROeOWtzeN,Wenn der Himmel weint,"Bausa, Jazeek",6,-1,-4,AT,3/1/25,70,FALSE,128641,Wenn der Himmel weint,2/20/25,0.723,0.401,6,-10.396,0,0.271,0.205,0.000615,0.415,0.197,122.253,5
2plbrEY59IikOBgBGLjaoe,Die With A Smile,"Lady Gaga, Bruno Mars",7,-1,1,AT,3/1/25,96,FALSE,251667,Die With A Smile,8/16/24,0.521,0.592,6,-7.777,0,0.0304,0.308,0,0.122,0.535,157.969,3
3COS5kuid5EKAfN2klE84V,Northside,Sosa La M,8,-1,-3,AT,3/1/25,67,TRUE,153082,1789,2/21/25,0.735,0.551,11,-9.5,0,0.31,0.0212,2.73E-05,0.169,0.151,142.061,4
1EDPVGbyPKJPeGqATwXZvN,The Emptiness Machine,Linkin Park,9,-1,1,AT,3/1/25,79,TRUE,190427,From Zero,11/15/24,0.466,0.872,7,-3.344,1,0.0336,0.0156,0,0.121,0.806,184.115,4
6qqrTXSdwiJaq8SO0X2lSe,Ordinary,Alex Warren,10,0,2,AT,3/1/25,83,FALSE,186964,Ordinary,2/7/25,0.446,0.682,2,-6.229,1,0.0497,0.739,9.51E-06,0.0562,0.382,112.252,4
7ne4VBA60CxGM75vw0EYad,That’s So True,Gracie Abrams,11,-2,0,AT,3/1/25,92,TRUE,166300,The Secret of Us (Deluxe),10/18/24,0.554,0.808,1,-4.169,1,0.0368,0.214,0,0.159,0.372,108.548,4
4rBRRLgdB9DYJhqA9uVcWt,FXCK UP THE WORLD (feat. Future),"LISA, Future",12,38,38,AT,3/1/25,72,TRUE,184155,Alter Ego,2/28/25,0.687,0.663,2,-5.707,1,0.0468,0.00598,3.53E-06,0.215,0.25,146.02,4
6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,Kendrick Lamar,13,-1,-4,AT,3/1/25,92,TRUE,274192,Not Like Us,5/4/24,0.898,0.472,1,-7.001,1,0.0776,0.0107,0,0.141,0.214,101.061,4
5ZLUm9eab8y3tqQ1OhQSHI,Abracadabra,Lady Gaga,14,-1,-1,AT,3/1/25,89,FALSE,223398,Abracadabra,2/3/25,0.68,0.909,10,-3.487,0,0.0624,0.0121,0,0.222,0.633,126.004,4
2qX5NeJHw3LGR2cNoY8qbK,me & you,YAKARY,15,35,35,AT,3/1/25,31,TRUE,138376,me & you,2/28/25,0.538,0.707,10,-7.285,1,0.371,0.00935,0,0.414,0.523,98.256,4
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,16,-2,-1,AT,3/1/25,94,FALSE,210373,HIT ME HARD AND SOFT,5/17/24,0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,4
35ISBknsCeZQtq66xABI9g,Messy,Lola Young,17,-2,-1,AT,3/1/25,84,TRUE,284066,This Wasn't Meant For You Anyway,6/21/24,0.798,0.562,9,-5.913,1,0.0375,0.11,0.00606,0.122,0.647,110.991,4
3kAXRmMpVq8uMLX5HCpTYO,Ende,Nina Chuba,18,32,32,AT,3/1/25,22,FALSE,168452,Ende,2/28/25,0.395,0.429,5,-7.474,1,0.213,0.587,0,0.183,0.467,196.34,3
69yw1KhYUuGwUbOImS0jju,Verwandtschaftstreffen,RIAN,19,-2,-2,AT,3/1/25,63,FALSE,165661,Verwandtschaftstreffen,6/27/24,0.951,0.634,5,-7.718,0,0.0638,0.527,0,0.0981,0.957,133.994,4
5oZhVe2siY0lta6THxawAR,PPP,"LACAZETTE, JR.",20,30,30,AT,3/1/25,27,TRUE,137952,PPP,2/28/25,0.865,0.654,10,-7.377,0,0.448,0.126,0,0.0952,0.56,127.143,4
3xkHsmpQCBMytMJNiDf3Ii,Beautiful Things,Benson Boone,21,-2,1,AT,3/1/25,85,FALSE,180304,Fireworks & Rollerblades,4/5/24,0.472,0.471,10,-5.692,1,0.0603,0.151,0,0.14,0.219,105.029,3
5ITV0zqzjOYfFWpW0xBmRa,Show Me Love,"WizTheMc, bees & honey",22,1,28,AT,3/1/25,73,FALSE,176965,Show Me Love,2/7/25,0.714,0.691,1,-7.333,1,0.0434,0.0212,0.000292,0.111,0.155,107.15,4
