spotify_id,name,artists,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
7tI8dRuH2Yc6RuoTjxo4dU,Who,Jimin,1,0,0,BG,3/1/25,86,FALSE,170887,MUSE,7/19/24,0.66,0.756,0,-3.743,0,0.032,0.00289,0,0.193,0.838,116.034,4
4np8dpfv5qahhkOSzgsMFL,Питаш ли ме,Tsvetelina Yaneva,2,0,1,BG,3/1/25,47,FALSE,178461,Питаш ли ме,12/20/24,0.689,0.839,1,-5.611,1,0.0738,0.0396,5.78E-06,0.295,0.868,156.01,4
7gMfVc4zfNIxuMyMGglOHa,Rebirth (Intro),Jimin,3,2,19,BG,3/1/25,68,FALSE,144624,MUSE,7/19/24,0.372,0.567,5,-4.211,0,0.0361,0.142,0,0.0871,0.0928,172.024,4
3d2bsbugow8JiNvuaRupFH,Slow Dance (feat. Sofia Carson),"Jimin, Sofia Carson",4,0,11,BG,3/1/25,70,FALSE,188399,MUSE,7/19/24,0.68,0.719,1,-6.078,1,0.0708,0.132,0,0.0295,0.8,87.016,4
0b2D7UMjaaIYJndNYBbdRU,Мераклия,Djordan,5,-2,-1,BG,3/1/25,48,FALSE,188780,Мераклия,12/15/24,0.682,0.878,10,-4.562,1,0.0634,0.00302,0,0.03,0.681,164.049,4
5muTWlhHQ2MjzTrEQB2MYg,Sinite ti ochi,Emanuela,6,0,-1,BG,3/1/25,40,FALSE,210374,Sinite ti ochi,2/14/25,0.699,0.794,1,-4.782,1,0.11,0.135,0,0.138,0.793,160.018,4
21z8pee2qYV0SzbqQCb72g,Разкажи ѝ,Dessita,7,0,-5,BG,3/1/25,48,FALSE,211578,Разкажи ѝ,1/24/25,0.688,0.869,1,-5.753,0,0.0555,0.0885,0,0.161,0.668,152.056,4
3WiUtI325WtTAk3lacleM8,Чалга,"Krissy, Tedi Aleksandrova",8,0,-1,BG,3/1/25,44,FALSE,221243,Чалга,12/27/24,0.663,0.891,0,-5.772,1,0.103,0.0317,0,0.352,0.634,171.922,4
3dka3n7xJ9gPiqPhWPy4su,Окадар,"DJ Damyan, Emanuela",9,4,3,BG,3/1/25,46,FALSE,244090,Окадар,5/26/24,0.615,0.89,6,-3.902,0,0.0982,0.0859,0,0.0544,0.826,176.095,4
542H35VsHuyhN1mBzDpAaT,Mazalyak,"Emanuela, Monkey",10,2,-4,BG,3/1/25,47,FALSE,218181,Mazalyak,12/4/24,0.668,0.899,0,-4.684,1,0.143,0.095,0,0.102,0.764,175.936,4
