Country,Country Code,Time,Time Code,"GDP,constant 2010 US$,millions,seas. adj., [NYGDPMKTPSAKD]","GDP,current US$,millions,seas. adj., [NYGDPMKTPSACD]","Imports Merchandise, Customs, constant US$, millions, seas. adj. [DMGSRMRCHSAKD]","Imports Merchandise, Customs, constant US$, millions, not seas. adj. [DMGSRMRCHNSKD]","Imports Merchandise, Customs, current US$, millions, not seas. adj. [DMGSRMRCHNSCD]","Imports Merchandise, Customs, current US$, millions, seas. adj. [DMGSRMRCHSACD]","Imports Merchandise, Customs, Price, US$, not seas. adj. [DMGSRMRCHNSXD]","Imports Merchandise, Customs, Price, US$, seas. adj. [DMGSRMRCHSAXD]","Official exchange rate, LCU per USD, period average,, [DPANUSLCU]","GDP,constant 2010 LCU,millions,seas. adj., [NYGDPMKTPSAKN]","GDP,current LCU,millions,seas. adj., [NYGDPMKTPSACN]","Stock Markets, LCU,,, [DSTKMKTXN]","Stock Markets, US$,,, [DSTKMKTXD]","Core CPI,not seas.adj,,, [CORENS]","Core CPI,seas.adj,,, [CORESA]","CPI Price, % y-o-y, median weighted, seas. adj., [CPTOTSAXMZGY]","CPI Price, % y-o-y, not seas. adj.,, [CPTOTSAXNZGY]","CPI Price, seas. adj.,,, [CPTOTSAXN]","CPI Price,not seas.adj,,, [CPTOTNSXN]","Exchange rate, new LCU per USD extended backward, period average,, [DPANUSSPB]","Exchange rate, old LCU per USD extended forward, period average,, [DPANUSSPF]","Exports Merchandise, Customs, constant US$, millions, not seas. adj. [DXGSRMRCHNSKD]","Exports Merchandise, Customs, constant US$, millions, seas. adj. [DXGSRMRCHSAKD]","Exports Merchandise, Customs, current US$, millions, not seas. adj. [DXGSRMRCHNSCD]","Exports Merchandise, Customs, current US$, millions, seas. adj. [DXGSRMRCHSACD]","Exports Merchandise, Customs, Price, US$, not seas. adj. [DXGSRMRCHNSXD]","Exports Merchandise, Customs, Price, US$, seas. adj. [DXGSRMRCHSAXD]","Industrial Production, constant US$, seas. adj.,, [IPTOTSAKD]","Industrial Production, constant US$,,, [IPTOTNSKD]","Months Import Cover of Foreign Reserves,,,, [IMPCOV]","Nominal Effective Exchange Rate,,,, [NEER]","Real Effective Exchange Rate,,,, [REER]","Retail Sales Volume,Index,,, [RETSALESSA]","Terms of Trade,,,, [TOT]","Total Reserves,,,, [TOTRESV]","Unemployment rate,Percent,,, [UNEMPSA_]"
Austria,AUT,2025Q1,2025Q1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Austria,AUT,2025M03,2025M03,..,..,..,..,..,..,..,..,12.75884615,..,..,162.1761726,122.3980781,..,..,..,..,..,..,0.9271290698,12.75884615,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Austria,AUT,2024Q4,2024Q4,117086.4981,129068.0912,..,..,..,..,0.8777414714,0.8726307982,..,93602,121044,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Austria,AUT,2024Q3,2024Q3,117538.0721,132940.015,58920.60951,56257.58569,50528.16007,52162.78425,0.8982096345,0.885317897,..,93963,120991,..,..,..,..,..,..,..,..,..,..,..,..,51191.4,53596.46306,..,..,..,..,..,..,..,..,..,..,..
Austria,AUT,2024Q2,2024Q2,117865.8072,129437.3455,57856.19571,58041.57472,51164.18417,50441.97137,0.8815318796,0.8718749325,..,94225,120241,..,..,..,..,..,..,..,..,..,..,..,..,51500.9,51009.1116,..,..,..,..,..,..,..,..,..,..,..
Austria,AUT,2024Q1,2024Q1,118367.4171,129766.1004,57400.42756,57673.84986,51164.73796,50060.97856,0.8871539119,0.8721130969,..,94626,119470,..,..,..,..,..,..,..,..,..,..,..,..,53686.9,51960.61548,..,..,..,..,..,..,..,..,..,..,..
Austria,AUT,2025M01,2025M01,..,..,..,..,..,..,..,..,13.29682609,..,..,143.8041078,104.3215497,..,..,..,3.094462541,152.8985507,153.5844471,0.9663879698,13.29682609,..,..,..,..,..,..,12160748640,..,..,..,..,..,..,12498.77189,7.122195682
Austria,AUT,2025M02,2025M02,..,..,..,..,..,..,..,..,13.2178,..,..,154.1407478,112.5276334,..,..,..,3.330625508,153.6231884,154.5565006,0.9604865469,13.2178,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.190720312
Austria,AUT,2025,2025,..,..,..,..,..,..,..,..,13.09115741,..,..,153.373676,113.0824204,..,..,..,2.483343428,153.2608696,154.0704739,0.9513345288,13.09115741,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.156457997
Belgium,BEL,2025Q1,2025Q1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
