"spotify_id","name","artists","daily_rank","daily_movement","weekly_movement","country","snapshot_date","popularity","is_explicit","duration_ms","album_name","album_release_date","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature"
"7so0lgd0zP2Sbgs2d7a1SZ","Die With A Smile","Lady Gaga, Bruno Mars","1","0","0","","2025-04-04","88","False","251667","MAYHEM","2025-03-07","0.519","0.601","6","-7.727","0","0.0317","0.289","0.0","0.126","0.498","157.964","3"
"6dOtVTDdiauQNBQEDOtlAB","BIRDS OF A FEATHER","Billie Eilish","2","0","1","","2025-04-04","99","False","210373","HIT ME HARD AND SOFT","2024-05-17","0.747","0.507","2","-10.171","1","0.0358","0.2","0.0608","0.117","0.438","104.978","4"
"2RkZ5LkEzeHGRsmDqKwmaJ","Ordinary","Alex Warren","3","0","2","","2025-04-04","77","False","186964","You'll Be Alright, Kid (Chapter 1)","2024-09-27","0.368","0.694","2","-6.141","1","0.06","0.704","6.59e-06","0.055","0.391","168.115","3"
"4wJ5Qq0jBN4ajy7ouZIV1c","APT.","ROSÉ, Bruno Mars","4","0","-2","","2025-04-04","92","False","169917","rosie","2024-12-06","0.777","0.783","0","-4.477","0","0.26","0.0283","0.0","0.355","0.939","149.027","4"
"2CGNAOSuO1MEFCbBRgUzjd","luther (with sza)","Kendrick Lamar, SZA","5","0","1","","2025-04-04","94","False","177598","GNX","2024-11-21","0.707","0.575","2","-7.546","1","0.125","0.251","0.0","0.248","0.576","138.008","4"
"3LPLRNr58Z9Pn0clnEtkXb","Anxiety","Doechii","6","0","-2","","2025-04-04","86","True","249302","Alligator Bites Never Heal (Extended)","2025-03-14","0.807","0.596","0","-6.818","1","0.0394","0.321","0.000294","0.105","0.881","129.013","4"
"7ne4VBA60CxGM75vw0EYad","That’s So True","Gracie Abrams","7","0","1","","2025-04-04","97","True","166300","The Secret of Us (Deluxe)","2024-10-18","0.554","0.808","1","-4.169","1","0.0368","0.214","0.0","0.159","0.372","108.548","4"
"3sK8wGT43QFpWrvNQsrQya","DtMF","Bad Bunny","8","0","-1","","2025-04-04","98","True","237117","DeBÍ TiRAR MáS FOToS","2025-01-05","0.625","0.131","7","-27.405","0","0.0717","0.177","0.218","0.0807","0.032","136.02","4"
"2262bWmqomIaJXwCRHr13j","Sailor Song","Gigi Perez","9","3","2","","2025-04-04","95","False","211978","Sailor Song","2024-07-26","0.494","0.413","11","-10.432","1","0.0254","0.682","6.72e-05","0.193","0.273","94.938","4"
"1YRbAonLvmuUILvQso0gUM","twilight zone","Ariana Grande","10","-1","40","","2025-04-04","85","False","198320","eternal sunshine deluxe: brighter days ahead","2025-03-28","0.728","0.479","5","-7.424","1","0.0319","0.0883","0.000284","0.102","0.193","114.893","4"
"0fK7ie6XwGxQTIkpFoWkd1","like JENNIE","JENNIE","11","-1","-2","","2025-04-04","94","True","123517","Ruby","2025-03-07","0.811","0.743","10","-5.321","0","0.0611","0.281","0.00671","0.0868","0.815","130.019","4"
"6iOndD4OFo7GkaDypWQIou","La Plena - W Sound 05","W Sound, Beéle, Ovy On The Drums","12","1","11","","2025-04-04","89","True","150001","La Plena (W Sound 05)","2025-02-19","0.894","0.643","5","-3.485","1","0.132","0.543","0.000984","0.101","0.659","99.039","4"
"3QaPy1KgI7nu9FJEQUgn6h","WILDFLOWER","Billie Eilish","13","-2","-1","","2025-04-04","95","False","261466","HIT ME HARD AND SOFT","2024-05-17","0.467","0.247","6","-12.002","0","0.0431","0.612","0.000271","0.17","0.126","148.101","4"
"2lTm559tuIvatlT1u0JYG2","BAILE INoLVIDABLE","Bad Bunny","14","2","-4","","2025-04-04","97","True","367725","DeBÍ TiRAR MáS FOToS","2025-01-05","0.168","0.00332","10","-46.113","1","0.0615","0.192","0.79","0.112","0.219","119.387","3"
"35ISBknsCeZQtq66xABI9g","Messy","Lola Young","15","2","0","","2025-04-04","89","True","284066","This Wasn't Meant For You Anyway","2024-06-21","0.798","0.562","9","-5.913","1","0.0375","0.11","0.00606","0.122","0.647","110.991","4"
"3xkHsmpQCBMytMJNiDf3Ii","Beautiful Things","Benson Boone","16","-1","-2","","2025-04-04","92","False","180304","Fireworks & Rollerblades","2024-04-05","0.472","0.471","10","-5.692","1","0.0603","0.151","0.0","0.14","0.219","105.029","3"
"5UJbgR4XF4y1DvbkxEqe8S","Sports car","Tate McRae","17","-3","1","","2025-04-04","84","False","165045","So Close To What","2025-02-20","0.861","0.815","11","-3.672","0","0.0349","0.0505","0.00139","0.1","0.886","106.978","4"
"78HEzDEs1QUnHB2DbxgC1s","Te Quería Ver","Alemán, Neton Vega","18","1","3","","2025-04-04","93","False","176129","Te Quería Ver","2025-01-31","0.802","0.761","4","-5.182","0","0.0681","0.188","1.69e-05","0.0922","0.448","100.019","4"
"0FIDCNYYjNvPVimz5icugS","Timeless (feat Playboi Carti)","The Weeknd, Playboi Carti","19","2","-2","","2025-04-04","93","True","256000","Hurry Up Tomorrow","2025-01-31","0.768","0.775","11","-5.06","0","0.0466","0.069","2.96e-06","0.138","0.6","119.999","4"
"2u9S9JJ6hTZS3Vf22HOZKg","NOKIA","Drake","20","3","12","","2025-04-04","92","True","241023","$ome $exy $ongs 4 U","2025-02-14","0.537","0.727","5","-4.184","1","0.15","0.247","0.0","0.173","0.508","106.037","4"
"3DuwWefONx2FEgFafeHObv","not like cheddar","Bellamy ranger, Aiden Smith","21","29","29","","2025-04-04","0","False","48018","not like cheddar","2025-04-02","0.754","0.459","1","-7.983","1","0.355","0.216","0.0","0.257","0.584","69.471","5"
"2HRqTpkrJO5ggZyyK6NPWz","Espresso","Sabrina Carpenter","22","0","-3","","2025-04-04","90","True","175459","Short n' Sweet","2024-08-23","0.699","0.776","0","-5.282","1","0.0293","0.131","5.36e-06","0.205","0.708","103.963","4"
"7tI8dRuH2Yc6RuoTjxo4dU","Who","Jimin","23","-5","-7","","2025-04-04","90","False","170887","MUSE","2024-07-19","0.66","0.756","0","-3.743","0","0.032","0.00289","0.0","0.193","0.838","116.034","4"
"3GCdLUSnKSMJhs4Tj6CV3s","All The Stars (with SZA)","Kendrick Lamar, SZA","24","0","-2","","2025-04-04","95","True","232186","Black Panther The Album Music From And Inspired By","2018-02-09","0.695","0.633","8","-4.946","1","0.0599","0.0612","0.000195","0.0926","0.557","96.782","4"
"2LHNTC9QZxsL3nWpt8iaSR","Abracadabra","Lady Gaga","25","2","1","","2025-04-04","87","False","223398","MAYHEM","2025-03-07","0.679","0.906","10","-3.443","0","0.0632","0.0119","0.0","0.229","0.652","126.01","4"
"6J5kc12BW5HuP3d7C3vvx8","EoO","Bad Bunny","26","2","-1","","2025-04-04","93","True","204768","DeBÍ TiRAR MáS FOToS","2025-01-05","0.36","0.464","10","-29.598","0","0.0702","0.749","0.859","0.0825","0.184","63.662","4"
"17phhZDn6oGtzMe56NuWvj","Lose Control","Teddy Swims","27","-2","0","","2025-04-04","91","False","210688","I've Tried Everything But Therapy (Part 1)","2023-09-15","0.561","0.604","9","-4.409","1","0.0337","0.199","1.9e-05","0.104","0.242","159.92","3"
"7EW7Yivb93qKAtp5qEm5of","Dark Thoughts","Lil Tecca","28","-2","-8","","2025-04-04","90","True","136991","Dark Thoughts","2025-03-14","0.801","0.773","1","-3.756","0","0.155","0.055","0.0","0.189","0.709","101.935","4"
"0WbMK4wrZ1wFSty9F7FCgu","Good Luck, Babe!","Chappell Roan","29","3","0","","2025-04-04","94","False","218423","Good Luck, Babe!","2024-04-05","0.7","0.582","11","-5.96","0","0.0356","0.0502","0.0","0.0881","0.785","116.712","4"
"4oB8Xd7gMlUEtWoD8bmCXW","Morena","Neton Vega, Peso Pluma","30","-1","20","","2025-04-04","90","False","193728","Mi Vida Mi Muerte","2025-02-14","0.697","0.776","4","-7.409","0","0.0308","0.379","0.00148","0.341","0.189","118.007","3"
"5ITV0zqzjOYfFWpW0xBmRa","Show Me Love","WizTheMc, bees & honey","31","7","19","","2025-04-04","90","False","176965","Show Me Love","2025-02-07","0.714","0.691","1","-7.333","1","0.0434","0.0212","0.000292","0.111","0.155","107.15","4"
"7CyPwkp0oE8Ro9Dd5CUDjW","One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp","32","1","-1","","2025-04-04","93","False","244684","The Idol Episode 4 (Music from the HBO Original Series)","2023-06-23","0.264","0.64","8","-6.221","1","0.0442","0.0393","2.31e-06","0.151","0.19","84.828","4"
"5TFD2bmFKGhoCRbX61nXY5","NUEVAYoL","Bad Bunny","33","2","3","","2025-04-04","94","False","183685","DeBÍ TiRAR MáS FOToS","2025-01-05","0.142","0.195","6","-20.024","1","0.139","0.265","0.995","0.204","0.12","137.922","4"
"6393yGahSJ9slVdOwSxOVR","Pink Pony Club","Chappell Roan","34","3","1","","2025-04-04","88","False","258034","The Rise and Fall of a Midwest Princess","2023-09-21","0.61","0.65","6","-6.199","1","0.0474","0.399","0.0","0.11","0.507","106.719","4"
"6Qyc6fS4DsZjB2mRW9DsQs","Iris","The Goo Goo Dolls","35","-4","-1","","2025-04-04","91","False","289533","Dizzy up the Girl","1998-01-01","0.315","0.715","11","-8.072","0","0.0362","0.00125","7.97e-06","0.0942","0.497","155.925","3"
"4DnrAI8WyUY6gkOwl8GlPN","capaz (merengueton)","Alleh, Yorghaki","36","13","3","","2025-04-04","88","False","173858","LA CIUDAD","2024-12-24","0.872","0.614","3","-5.618","0","0.181","0.0815","0.000207","0.135","0.785","126.957","4"
"0aB0v4027ukVziUGwVGYpG","tv off (feat. lefty gunplay)","Kendrick Lamar, Lefty Gunplay","37","-1","-4","","2025-04-04","94","True","220690","GNX","2024-11-22","0.855","0.529","6","-6.679","0","0.263","0.0837","0.0","0.423","0.548","100.036","4"
"4eLDmhsJW3JoZTXCAozHor","Loco","Neton Vega","38","-8","12","","2025-04-04","85","False","186521","Mi Vida Mi Muerte","2025-02-14","0.849","0.708","1","-5.502","1","0.0686","0.0741","0.00768","0.139","0.636","91.981","4"
